seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13735,759749,10,46262204,58',"Substitution, Alcalá. Izan González replaces Jesús Arribas.",2025-10-29 05:18:30
13735,759749,11,46262433,65',"Goal! Alcalá 0, Tenerife 3. Dani Fernández (Tenerife) right footed shot from the centre of the box to the high centre of the goal. Assisted by Juanjo Sánchez.",2025-10-29 05:18:30
13735,759749,12,46262489,66',"Substitution, Tenerife. Alassán Manjam replaces Noel López.",2025-10-29 05:18:30
13735,759749,13,46262563,66',"Substitution, Tenerife. Mahamadou Balde replaces Maikel Mesa.",2025-10-29 05:18:30
13735,759749,14,46262564,66',"Substitution, Tenerife. Nacho Gil replaces Dani Fernández.",2025-10-29 05:18:30
13735,759749,15,46262601,68',"Substitution, Alcalá. Aitor González replaces Sergio Marcos.",2025-10-29 05:18:30
13735,759749,16,46262641,68',"Substitution, Alcalá. Álvaro Portero replaces Javi Hernández.",2025-10-29 05:18:30
13735,759749,17,46263042,83',"Substitution, Alcalá. Javi Jiménez replaces Dani Nieto.",2025-10-29 05:18:30
13735,759749,18,46263085,83',"Substitution, Tenerife. Alberto Ulloa replaces Juanjo Sánchez.",2025-10-29 05:18:30
13735,759749,19,46263086,83',"Substitution, Tenerife. Jeremy Jorge replaces Fran Sabina.",2025-10-29 05:18:30
13735,759749,20,46263109,87',"Goal! Alcalá 0, Tenerife 4. Nacho Gil (Tenerife) converts the penalty with a right footed shot to the centre of the goal.",2025-10-29 05:18:30
13735,759749,21,-1,90',Fourth official has announced 0 minutes of added time.,2025-10-29 05:18:30
13735,759749,22,-1,90',"Second Half ends, Alcalá 0, Tenerife 4.",2025-10-29 05:18:30
13735,759749,23,-1,,"Match ends, Alcalá 0, Tenerife 4.",2025-10-29 05:18:30
13735,759750,0,-1,,Lineups are announced and players are warming up.,2025-10-29 05:18:30
13735,759750,1,-1,,First Half begins.,2025-10-29 05:18:30
13735,759750,2,46260516,22',Penalty saved. César Gómez (Cacereño) right footed shot saved in the centre of the goal.,2025-10-29 05:18:30
13735,759750,3,46260515,22',Víctor Rodríguez (Deportivo Guadalajara) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,4,46260517,40',Javi Barrio (Cacereño) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,5,46260518,41',"Goal! Deportivo Guadalajara 1, Cacereño 0. Neskes (Deportivo Guadalajara) converts the penalty with a right footed shot to the centre of the goal.",2025-10-29 05:18:30
13735,759750,6,-1,45',Fourth official has announced 1 minutes of added time.,2025-10-29 05:18:30
13735,759750,7,-1,45'+2',"First Half ends, Deportivo Guadalajara 1, Cacereño 0.",2025-10-29 05:18:30
13735,759750,8,-1,45',"Second Half begins Deportivo Guadalajara 1, Cacereño 0.",2025-10-29 05:18:30
13735,759750,9,46260564,45',"Substitution, Deportivo Guadalajara. Borja Díaz replaces Neskes.",2025-10-29 05:18:30
13735,759750,10,46261525,64',"Substitution, Cacereño. Emi Hernández replaces Ale Morales.",2025-10-29 05:18:30
13735,759750,11,46261475,64',"Substitution, Cacereño. Miguel Berlanga replaces César Gómez.",2025-10-29 05:18:30
13735,759750,12,46261570,67',"Substitution, Deportivo Guadalajara. Unax Álvarez replaces Manu Ramírez.",2025-10-29 05:18:30
13735,759750,13,46261532,68',"Substitution, Deportivo Guadalajara. David Amigo replaces Cañizo.",2025-10-29 05:18:30
13735,759750,14,46261659,71',"Substitution, Cacereño. Diego Gómez replaces Raúl Sanchís.",2025-10-29 05:18:30
13735,759750,15,46261725,73',"Substitution, Deportivo Guadalajara. Samu Mayo replaces Marcos Verdú.",2025-10-29 05:18:30
13735,759750,16,46261911,78',"Substitution, Cacereño. Deco replaces Unai Rementería.",2025-10-29 05:18:30
13735,759750,17,46261936,78',"Substitution, Cacereño. Sanvi replaces Javi Barrio.",2025-10-29 05:18:30
13735,759750,18,46261937,79',"Substitution, Deportivo Guadalajara. Jorge Casado replaces Unax Álvarez.",2025-10-29 05:18:30
13735,759750,19,46262079,83',"Goal! Deportivo Guadalajara 2, Cacereño 0. Samu Mayo (Deportivo Guadalajara) right footed shot from the centre of the box to the centre of the goal.",2025-10-29 05:18:30
13735,759750,20,46262150,86',Daniel Gallardo (Deportivo Guadalajara) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,21,46262151,86',Emi Hernández (Cacereño) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,22,46262149,86',Joserra (Cacereño) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,23,46262127,86',Julio Martínez (Deportivo Guadalajara) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759750,24,-1,90',Fourth official has announced 5 minutes of added time.,2025-10-29 05:18:30
13735,759750,25,46262322,90'+2',Second yellow card to Julio Martínez (Deportivo Guadalajara) for a bad foul.,2025-10-29 05:18:30
13735,759750,26,46262427,90'+4',"Goal! Deportivo Guadalajara 2, Cacereño 1. Miguel Berlanga (Cacereño) right footed shot from the centre of the box to the centre of the goal.",2025-10-29 05:18:30
13735,759750,27,-1,90'+6',"Second Half ends, Deportivo Guadalajara 2, Cacereño 1.",2025-10-29 05:18:30
13735,759750,28,-1,,"Match ends, Deportivo Guadalajara 2, Cacereño 1.",2025-10-29 05:18:30
13735,759751,0,-1,,Lineups are announced and players are warming up.,2025-10-31 05:17:00
13735,759751,1,-1,,First Half begins.,2025-10-31 05:17:00
13735,759751,2,-1,2',"Corner, Levante. Conceded by Joan Monterde.",2025-10-31 05:17:00
13735,759751,3,-1,2',Attempt blocked. Goduine Koyalipou (Levante) right footed shot from the left side of the box is blocked. Assisted by Iker Losada.,2025-10-31 05:17:00
13735,759751,4,-1,3',"Corner, Levante. Conceded by Rubén García.",2025-10-31 05:17:00
13735,759751,5,46279044,4',"Goal! Orihuela 0, Levante 1. Unai Elgezabal (Levante) header from the left side of the six yard box to the top left corner. Assisted by Iker Losada with a cross following a corner.",2025-10-31 05:17:00
13735,759751,6,46279907,6',"Corner, Orihuela. Conceded by Jorge Cabello.",2025-10-31 05:17:00
13735,759751,7,-1,7',Foul by Nacho Vila (Orihuela).,2025-10-31 05:17:00
13735,759751,8,-1,7',Goduine Koyalipou (Levante) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,9,46279063,8',Attempt missed. José Luis Morales (Levante) right footed shot from outside the box is too high from a direct free kick.,2025-10-31 05:17:00
13735,759751,10,46279072,8',Attempt missed. Javier Solsona (Orihuela) left footed shot from the centre of the box is high and wide to the right. Assisted by Rubén García with a cross.,2025-10-31 05:17:00
13735,759751,11,46279094,12',"Goal! Orihuela 0, Levante 2. José Luis Morales (Levante) right footed shot from outside the box to the bottom left corner. Assisted by Unai Elgezabal with a headed pass.",2025-10-31 05:17:00
13735,759751,12,-1,14',Foul by Adrián de la Fuente (Levante).,2025-10-31 05:17:00
13735,759751,13,-1,14',Joan Monterde (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,14,-1,16',Adrián de la Fuente (Levante) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,15,-1,16',Foul by Joan Monterde (Orihuela).,2025-10-31 05:17:00
13735,759751,16,-1,16',Foul by Goduine Koyalipou (Levante).,2025-10-31 05:17:00
13735,759751,17,-1,16',Gonzalo Miranda (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,18,-1,19',Foul by Alan Matturro (Levante).,2025-10-31 05:17:00
13735,759751,19,-1,19',Rubén García (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,20,-1,22',"Offside, Levante. Carlos Espí is caught offside.",2025-10-31 05:17:00
13735,759751,21,46279155,23',Attempt missed. Goduine Koyalipou (Levante) left footed shot from the centre of the box misses to the right. Assisted by Alan Matturro.,2025-10-31 05:17:00
13735,759751,22,-1,23',Foul by Javier Solsona (Orihuela).,2025-10-31 05:17:00
13735,759751,23,-1,23',Jon Olasagasti (Levante) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,24,-1,24',Foul by Adrián de la Fuente (Levante).,2025-10-31 05:17:00
13735,759751,25,-1,24',Louis Booker (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,26,-1,25',"Corner, Orihuela. Conceded by Jorge Cabello.",2025-10-31 05:17:00
13735,759751,27,-1,26',Attempt saved. Joan Monterde (Orihuela) right footed shot from outside the box is saved in the centre of the goal by Pablo Campos (Levante). Assisted by Marc Sirera.,2025-10-31 05:17:00
13735,759751,28,-1,26',Penalty Orihuela. José Lara draws a foul in the penalty area.,2025-10-31 05:17:00
13735,759751,29,-1,26',Penalty conceded by Jon Olasagasti (Levante) after a foul in the penalty area.,2025-10-31 05:17:00
13735,759751,30,46279178,27',"Goal! Orihuela 1, Levante 2. Javier Solsona (Orihuela) converts the penalty with a left footed shot to the bottom right corner.",2025-10-31 05:17:00
13735,759751,31,-1,28',Alan Matturro (Levante) wins a free kick on the left wing.,2025-10-31 05:17:00
13735,759751,32,-1,28',Foul by Rubén García (Orihuela).,2025-10-31 05:17:00
13735,759751,33,46279180,28',Rubén García (Orihuela) is shown the yellow card for a bad foul.,2025-10-31 05:17:00
13735,759751,34,46279182,29',Attempt missed. Goduine Koyalipou (Levante) header from the centre of the box misses to the right. Assisted by Jon Olasagasti following a set piece situation.,2025-10-31 05:17:00
13735,759751,35,-1,29',Attempt blocked. Alan Matturro (Levante) left footed shot from the centre of the box is blocked.,2025-10-31 05:17:00
13735,759751,36,46279188,29',"Attempt missed. Víctor García (Levante) right footed shot from outside the box is close, but misses to the right.",2025-10-31 05:17:00
13735,759751,37,46279924,31',Attempt saved. Carlos Espí (Levante) right footed shot from outside the box is saved in the centre of the goal by Iván Buigues (Orihuela). Assisted by Goduine Koyalipou.,2025-10-31 05:17:00
13735,759751,38,-1,32',Attempt saved. Nacho Vila (Orihuela) left footed shot from outside the box is saved in the centre of the goal by Pablo Campos (Levante). Assisted by José Lara.,2025-10-31 05:17:00
13735,759751,39,-1,33',Foul by Jorge Cabello (Levante).,2025-10-31 05:17:00
13735,759751,40,-1,33',José Lara (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,41,46279215,33',Jorge Cabello (Levante) is shown the yellow card for a bad foul.,2025-10-31 05:17:00
13735,759751,42,-1,34',Foul by José Lara (Orihuela).,2025-10-31 05:17:00
13735,759751,43,-1,34',Jorge Cabello (Levante) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,44,-1,35',"Offside, Levante. Jorge Cabello is caught offside.",2025-10-31 05:17:00
13735,759751,45,46279238,36',Attempt missed. Rubén García (Orihuela) right footed shot from long range on the right misses to the left. Assisted by Fran Rivera.,2025-10-31 05:17:00
13735,759751,46,-1,38',Attempt saved. Iker Losada (Levante) left footed shot from outside the box is saved in the top centre of the goal by Iván Buigues (Orihuela). Assisted by Jon Olasagasti.,2025-10-31 05:17:00
13735,759751,47,-1,39',Foul by Unai Elgezabal (Levante).,2025-10-31 05:17:00
13735,759751,48,-1,39',Joan Monterde (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,49,-1,39',"Corner, Levante. Conceded by Nacho Vila.",2025-10-31 05:17:00
13735,759751,50,46279258,40',Attempt missed. Adrián de la Fuente (Levante) right footed shot from outside the box is too high. Assisted by Jorge Cabello.,2025-10-31 05:17:00
13735,759751,51,-1,41',Foul by Iker Losada (Levante).,2025-10-31 05:17:00
13735,759751,52,-1,41',Nacho Vila (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,53,-1,41',Foul by Fran Rivera (Orihuela).,2025-10-31 05:17:00
13735,759751,54,-1,41',Jorge Cabello (Levante) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,55,-1,42',Alan Matturro (Levante) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,56,-1,42',Foul by Javier Solsona (Orihuela).,2025-10-31 05:17:00
13735,759751,57,-1,43',Foul by Víctor García (Levante).,2025-10-31 05:17:00
13735,759751,58,-1,43',Joan Monterde (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,59,46279279,44',Attempt missed. Gonzalo Miranda (Orihuela) right footed shot from outside the box is too high. Assisted by Javier Solsona.,2025-10-31 05:17:00
13735,759751,60,-1,45',Foul by Jon Olasagasti (Levante).,2025-10-31 05:17:00
13735,759751,61,-1,45',Joan Monterde (Orihuela) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,62,-1,45'+1',Fourth official has announced 2 minutes of added time.,2025-10-31 05:17:00
13735,759751,63,-1,45'+1',Delay in match because of an injury Álex Salto (Orihuela).,2025-10-31 05:17:00
13735,759751,64,-1,45'+2',Delay over. They are ready to continue.,2025-10-31 05:17:00
13735,759751,65,-1,45'+3',"First Half ends, Orihuela 1, Levante 2.",2025-10-31 05:17:00
13735,759751,66,-1,45',"Second Half begins Orihuela 1, Levante 2.",2025-10-31 05:17:00
13735,759751,67,-1,46',Foul by Gonzalo Miranda (Orihuela).,2025-10-31 05:17:00
13735,759751,68,-1,46',José Luis Morales (Levante) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,69,46279414,49',"Goal! Orihuela 1, Levante 3. Carlos Espí (Levante) right footed shot from outside the box to the bottom right corner. Assisted by José Luis Morales.",2025-10-31 05:17:00
13735,759751,70,46279425,51',"Goal! Orihuela 2, Levante 3. Gonzalo Miranda (Orihuela) right footed shot from outside the box to the bottom right corner. Assisted by Javier Solsona.",2025-10-31 05:17:00
13735,759751,71,-1,53',Foul by Joan Monterde (Orihuela).,2025-10-31 05:17:00
13735,759751,72,-1,53',Víctor García (Levante) wins a free kick on the right wing.,2025-10-31 05:17:00
13735,759751,73,46279456,53',Joan Monterde (Orihuela) is shown the yellow card for a bad foul.,2025-10-31 05:17:00
13735,759751,74,-1,54',Attempt blocked. Goduine Koyalipou (Levante) right footed shot from the centre of the box is blocked.,2025-10-31 05:17:00
13735,759751,75,-1,54',Attempt blocked. Adrián de la Fuente (Levante) left footed shot from outside the box is blocked.,2025-10-31 05:17:00
13735,759751,76,-1,55',"Corner, Levante. Conceded by Gonzalo Miranda.",2025-10-31 05:17:00
13735,759751,77,-1,56',Attempt saved. Gonzalo Miranda (Orihuela) right footed shot from outside the box is saved in the top centre of the goal by Pablo Campos (Levante). Assisted by Nacho Vila.,2025-10-31 05:17:00
13735,759751,78,-1,58',Foul by Alan Matturro (Levante).,2025-10-31 05:17:00
13735,759751,79,-1,58',Fran Rivera (Orihuela) wins a free kick on the right wing.,2025-10-31 05:17:00
13735,759751,80,-1,61',Foul by Marc Sirera (Orihuela).,2025-10-31 05:17:00
13735,759751,81,-1,61',Iker Losada (Levante) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,82,-1,62',Attempt saved. Goduine Koyalipou (Levante) right footed shot from the centre of the box is saved in the centre of the goal by Iván Buigues (Orihuela). Assisted by Jon Olasagasti with a cross.,2025-10-31 05:17:00
13735,759751,83,-1,62',Foul by Unai Elgezabal (Levante).,2025-10-31 05:17:00
13735,759751,84,-1,62',Gonzalo Miranda (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,85,46279551,63',Unai Elgezabal (Levante) is shown the yellow card for a bad foul.,2025-10-31 05:17:00
13735,759751,86,46279553,64',"Substitution, Orihuela. Rubén Solano replaces Javier Solsona.",2025-10-31 05:17:00
13735,759751,87,46279561,64',"Substitution, Orihuela. Ángel Sánchez replaces Rubén García.",2025-10-31 05:17:00
13735,759751,88,46279563,65',Attempt missed. Rubén Solano (Orihuela) header from the centre of the box misses to the left. Assisted by Ángel Sánchez with a cross.,2025-10-31 05:17:00
13735,759751,89,46279572,65',"Substitution, Levante. Pablo Martínez replaces Unai Elgezabal.",2025-10-31 05:17:00
13735,759751,90,46279573,65',"Substitution, Levante. Huseini Nakoha replaces Goduine Koyalipou.",2025-10-31 05:17:00
13735,759751,91,46279575,65',"Substitution, Levante. Matías Moreno replaces Alan Matturro.",2025-10-31 05:17:00
13735,759751,92,-1,66',Adrián de la Fuente (Levante) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,93,-1,66',Foul by Fran Rivera (Orihuela).,2025-10-31 05:17:00
13735,759751,94,-1,67',Attempt saved. Iker Losada (Levante) right footed shot from the right side of the box is saved in the top right corner by Iván Buigues (Orihuela). Assisted by Pablo Martínez.,2025-10-31 05:17:00
13735,759751,95,-1,67',"Corner, Levante. Conceded by Iván Buigues.",2025-10-31 05:17:00
13735,759751,96,-1,67',Foul by Jon Olasagasti (Levante).,2025-10-31 05:17:00
13735,759751,97,-1,67',Gonzalo Miranda (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,98,46279604,68',Attempt missed. Gonzalo Miranda (Orihuela) right footed shot from outside the box is high and wide to the right. Assisted by Fran Rivera.,2025-10-31 05:17:00
13735,759751,99,-1,72',Attempt blocked. Pablo Martínez (Levante) right footed shot from outside the box is blocked. Assisted by Carlos Espí.,2025-10-31 05:17:00
13735,759751,100,46279633,72',"Attempt missed. Pablo Martínez (Levante) right footed shot from the centre of the box is close, but misses to the left following a fast break.",2025-10-31 05:17:00
13735,759751,101,-1,73',Foul by Huseini Nakoha (Levante).,2025-10-31 05:17:00
13735,759751,102,-1,73',Rubén Solano (Orihuela) wins a free kick on the right wing.,2025-10-31 05:17:00
13735,759751,103,46279650,73',Huseini Nakoha (Levante) is shown the yellow card for a bad foul.,2025-10-31 05:17:00
13735,759751,104,46279635,73',José Lara (Orihuela) is shown the yellow card.,2025-10-31 05:17:00
13735,759751,105,46279912,74',"Corner, Orihuela. Conceded by Jorge Cabello.",2025-10-31 05:17:00
13735,759751,106,-1,75',Foul by Pablo Martínez (Levante).,2025-10-31 05:17:00
13735,759751,107,-1,75',José Lara (Orihuela) wins a free kick in the defensive half.,2025-10-31 05:17:00
13735,759751,108,46279664,75',"Substitution, Orihuela. Ayo replaces José Lara.",2025-10-31 05:17:00
13735,759751,109,46279665,75',"Substitution, Orihuela. Adnane Bensaad replaces Nacho Vila.",2025-10-31 05:17:00
13735,759751,110,-1,77',Attempt blocked. Adnane Bensaad (Orihuela) right footed shot from the left side of the box is blocked. Assisted by Joan Monterde.,2025-10-31 05:17:00
13735,759751,111,-1,77',Attempt blocked. Adnane Bensaad (Orihuela) left footed shot from a difficult angle on the left is blocked.,2025-10-31 05:17:00
13735,759751,112,-1,77',"Corner, Orihuela. Conceded by Pablo Martínez.",2025-10-31 05:17:00
13735,759751,113,-1,78',Delay in match because of an injury Pablo Martínez (Levante).,2025-10-31 05:17:00
13735,759751,114,-1,78',Delay over. They are ready to continue.,2025-10-31 05:17:00
13735,759751,115,46279688,79',"Substitution, Levante. Unai Vencedor replaces Pablo Martínez because of an injury.",2025-10-31 05:17:00
13735,759751,116,46279699,80',"Substitution, Levante. Jeremy Toljan replaces Iker Losada.",2025-10-31 05:17:00
13735,759751,117,-1,80',Attempt blocked. Louis Booker (Orihuela) header from the left side of the six yard box is blocked. Assisted by Gonzalo Miranda with a cross.,2025-10-31 05:17:00
13735,759751,118,-1,80',"Corner, Orihuela. Conceded by Carlos Espí.",2025-10-31 05:17:00
13735,759751,119,46279720,83',Attempt missed. Ángel Sánchez (Orihuela) right footed shot from outside the box is too high.,2025-10-31 05:17:00
13735,759751,120,-1,86',Foul by Matías Moreno (Levante).,2025-10-31 05:17:00
13735,759751,121,-1,86',Joan Monterde (Orihuela) wins a free kick in the attacking half.,2025-10-31 05:17:00
13735,759751,122,-1,86',Attempt saved. Rubén Solano (Orihuela) right footed shot from the right side of the box is saved in the bottom right corner by Pablo Campos (Levante). Assisted by Fran Rivera.,2025-10-31 05:17:00
13735,759751,123,-1,86',Foul by José Luis Morales (Levante).,2025-10-31 05:17:00
